make,mileage,model_year,transmission_from_vin,stock_type,msrp
Kia,133033.0,2019,A,USED,35095
Ram,11847.0,2023,A,USED,54645
Ram,325.0,2023,A,NEW,53445
Mazda,15.0,2024,A,NEW,37550
Nissan,122659.0,2018,A,USED,41048
GMC,50496.0,2019,A,USED,32900
Jeep,48168.77220551646,2024,A,NEW,59045
Dodge,71314.0,2015,A,USED,33195
Nissan,13344.0,2023,A,USED,78998
Infiniti,16857.0,2023,A,USED,49495
Subaru,18.0,2024,A,NEW,54995
Ford,27111.0,2021,A,USED,51639
Mazda,10.0,2024,A,NEW,39700
BMW,153538.0,2018,A,USED,40300
Ram,98621.0,2017,A,USED,47695
Honda,108435.0,2014,A,USED,25290
Ford,171045.0,2019,A,USED,43399
Nissan,30.0,2024,A,NEW,58098
Volkswagen,48168.77220551646,2024,A,NEW,33995
Chevrolet,165209.0,2021,A,USED,78998
Kia,48168.77220551646,2024,A,NEW,37295
Ford,48168.77220551646,2024,A,NEW,43200
Ford,13.0,2024,A,NEW,80040
Chevrolet,99505.0,2021,A,USED,75598
Mazda,24705.0,2020,A,USED,31045
Mini,26977.0,2021,A,USED,32990
Ford,48168.77220551646,2024,A,NEW,48340
Mercedes-Benz,6166.0,2023,A,NEW,80900
Land Rover,2.0,2024,A,NEW,210300
Honda,144215.0,2022,A,USED,26765
Ram,16.0,2023,A,NEW,54645
Hyundai,60795.0,2022,A,USED,54999
Chevrolet,5.0,2024,A,NEW,63499
Volkswagen,7.0,2024,A,NEW,57995
Lincoln,68831.0,2021,A,USED,50500
Jeep,25.0,2023,A,NEW,55490
Chrysler,48168.77220551646,2024,A,NEW,58820
Ford,111640.0,2020,A,USED,59099
Jeep,89336.0,2021,A,USED,60090
Toyota,259000.0,2009,M,USED,19450
Cadillac,2.0,2024,A,NEW,85194
Ford,13.0,2024,A,NEW,35649
Hyundai,10.0,2024,A,NEW,23799
Toyota,207028.0,2011,A,USED,36410
Ford,64272.0,2021,A,USED,39249
Nissan,26945.0,2022,A,USED,44098
Ford,12.0,2023,A,NEW,59995
Mitsubishi,10.0,2024,A,NEW,26798
Mercedes-Benz,133020.0,2015,A,USED,51400
Honda,93999.0,2018,A,USED,23990
Honda,56562.0,2019,A,USED,48990
Hyundai,68498.0,2017,A,USED,36499
Ford,2.0,2024,A,NEW,67225
Honda,159747.0,2018,A,USED,29890
Ram,18.0,2023,A,NEW,54645
Jeep,10.0,2024,A,NEW,65045
Hyundai,24255.0,2021,A,USED,25599
Chevrolet,15.0,2024,A,NEW,63799
Ram,26.0,2024,A,NEW,84570
Honda,13705.0,2023,A,USED,48890
Hyundai,99000.0,2018,A,USED,37999
Maserati,38980.0,2022,A,USED,104400
BMW,90.0,2024,A,NEW,56200
Ford,35.0,2023,A,NEW,59125
Chevrolet,15.0,2024,A,NEW,83999
Hyundai,3039.0,2023,A,NEW,38499
Nissan,104366.0,2017,A,USED,48478
Nissan,48168.77220551646,2024,A,NEW,26298
Lexus,20052.0,2022,A,USED,50350
Mitsubishi,47496.0,2016,A,USED,36498
Toyota,132980.0,2017,A,USED,25170
Hyundai,48875.0,2017,A,USED,30899
Chrysler,66029.0,2022,A,USED,54645
GMC,6.0,2024,A,NEW,103499
Honda,67452.0,2019,A,USED,36090
Mitsubishi,47496.0,2016,A,USED,36498
GMC,3.0,2024,A,NEW,97599
Ram,36724.0,2022,A,USED,69895
Kia,123764.0,2018,A,USED,20395
Ford,101300.0,2018,A,USED,42199
Mazda,47357.0,2022,A,USED,33650
Chevrolet,168828.0,2017,A,USED,21595
Ford,31.0,2023,A,NEW,50715
Volvo,48168.77220551646,2024,A,NEW,68950
Nissan,89110.0,2018,A,USED,41048
Ford,9919.0,2023,A,USED,59125
Fiat,48168.77220551646,2024,A,NEW,39995
Toyota,7.0,2024,A,NEW,33150
Tesla,56541.0,2022,A,USED,76990
Ford,26.0,2024,A,NEW,38995
Mitsubishi,74397.0,2021,A,USED,29998
Infiniti,57597.0,2020,A,USED,47245
Volkswagen,13.0,2024,A,NEW,41795
Ford,109140.0,2020,A,USED,59099
Kia,48168.77220551646,2024,A,NEW,35595
Ram,2274.0,2023,A,USED,100795
Ram,22000.0,2023,A,USED,54645
Audi,19.0,2024,A,NEW,59065
BMW,2429.0,2024,A,USED,59600
Nissan,12.0,2024,A,NEW,33648
Chevrolet,48168.77220551646,2024,A,NEW,163799
Volkswagen,20893.0,2021,A,USED,48095
Ram,10.0,2024,A,NEW,70065
Jeep,48168.77220551646,2024,A,NEW,63045
Mazda,101940.0,2018,A,USED,29350
Porsche,95891.0,2019,A,USED,91700
Ford,30.0,2024,A,NEW,47235
Buick,22.0,2024,A,NEW,59798
Ford,10.0,2024,A,NEW,71000
Audi,90.0,2024,A,NEW,53275
Jeep,66.0,2024,A,NEW,84045
Nissan,84521.0,2021,A,USED,34598
Ford,98261.0,2021,A,USED,40249
GMC,44600.0,2022,A,USED,80248
Honda,11.0,2024,A,NEW,37500
Jeep,22.0,2024,A,NEW,59270
Lexus,76290.0,2021,A,USED,65150
Honda,300.0,2024,A,NEW,49775
Ford,51.0,2024,A,NEW,35649
BMW,46250.0,2021,A,USED,52550
Chevrolet,48168.77220551646,2024,A,NEW,63499
Hyundai,19.0,2024,A,NEW,49999
Ford,18524.0,2021,A,USED,30649
Mercedes-Benz,70704.0,2013,A,USED,60400
Chevrolet,10.0,2024,A,NEW,87299
Hyundai,10.0,2024,A,NEW,56999
Audi,69.0,2024,A,NEW,50415
Ram,43133.0,2022,A,USED,65895
Ram,79132.0,2019,A,USED,48070
Mazda,48168.77220551646,2024,A,NEW,64350
Mazda,125015.0,2018,A,USED,31500
Nissan,59002.0,2019,A,USED,37398
Infiniti,74214.0,2018,A,USED,44995
Jeep,16.0,2024,A,NEW,61045
GMC,6.0,2024,A,NEW,87599
Ford,10.0,2024,A,NEW,38995
Chrysler,106538.0,2022,A,USED,43995
Jeep,15.0,2024,A,NEW,40170
Volvo,30.0,2024,A,NEW,76700
Jeep,78.0,2024,A,NEW,43670
Chevrolet,14760.0,2023,A,USED,72803
Jeep,29.0,2024,A,NEW,43670
Chrysler,124825.0,2020,A,USED,48245
Jeep,24920.0,2021,A,USED,48495
Lexus,6000.0,2024,A,USED,79500
Ram,19.0,2024,A,NEW,70020
Jeep,18063.0,2023,A,USED,79845
Hyundai,106801.0,2016,A,USED,37149
Hyundai,139000.0,2018,A,USED,31399
Toyota,213000.0,2012,A,USED,27500
Ford,96975.0,2017,A,USED,29399
Nissan,48168.77220551646,2024,A,NEW,33648
GMC,92500.0,2018,A,USED,41115
Toyota,163967.0,2017,A,USED,32950
Hyundai,94103.0,2019,A,USED,28999
Mazda,48168.77220551646,2024,A,NEW,36100
Ram,51252.0,2022,A,USED,53540
Jeep,16.0,2024,A,NEW,63770
Subaru,5.0,2024,A,NEW,40595
Hyundai,27820.0,2021,A,USED,21599
Ram,106843.0,2018,A,USED,52695
Ram,19.0,2023,A,NEW,54645
BMW,90.0,2024,A,NEW,56700
Lexus,90.0,2024,A,NEW,67350
Hyundai,10.0,2024,A,NEW,34199
Ford,194554.0,2013,A,USED,26899
Ram,18.0,2024,A,NEW,68670
Honda,13325.0,2023,A,USED,56435
Volkswagen,62997.0,2016,A,USED,30550
Chevrolet,130.0,2024,A,NEW,83699
Ram,21.0,2024,A,NEW,68670
Kia,25.0,2024,A,NEW,42975
Nissan,56040.0,2016,A,USED,31798
Lexus,31844.0,2023,A,USED,63250
Dodge,18.0,2024,A,NEW,69970
Kia,9787.0,2023,A,USED,50395
Chevrolet,128891.0,2017,A,USED,26895
Kia,22674.0,2023,A,USED,36095
Honda,51427.0,2022,A,USED,26765
